ms,start,end,passim_text,offsetter_text,cut_before,cut_after
308,0,1480,الفلاحي علي ابي سعيد سهل بن هرون التستري اليهودي وقتله عند خان العبيد وذلك ان ام المستنصر------ كانت جارية ابي سعيد هذا فاخذها منه الظاهر وتسراها فولدت له ابنه المستنصر فرقت ابا سعيد درجة عليه بعد وفاة الظاهر وكان يخاف الوزير الجرجراءي فلم يظه-----ر ما في نفسه فلما مات الجرجراءي وتولي الفلاحي انبسطت كلمة ابي سعيد في الدولة بحيث لم يبق للفلاحي معه في الوزارة امر ولا نهي سوي الاسم فقط وبعض التنفيذ لا غير وابو سعيد يتولي ديوان ام الخليفة المستنصر فغض الفلاحي بابي سعيد وشغب عليه الجند -----حتي قتلوه وذلك ان بني قرة عرب البحيرة---- افسدوا في الاعمال فخرج اليهم الخادم عزيز الدولة ريحان واوقع بهم وقتل منهم وعاد وقد عظم في نفسه لمعالجة النصر علي بني قرة والظفر بهم فثقل علي ابي سعيد امره واستمال المغاربة وزاد في واجباتهم ونقص من -ارزاق الاتراك ومن ينضاف اليهم فجري بين الطاءفتين حرب بباب زويلة واتفق مرض-- ريحان وموته فاتهم ابو سعيد انه سمه وتجمع الطواءف المنحرفة عنه علي قتله فركب من داره علي العادة يريد القصر في يوم الاحد لثلاث خلون من جمادي الاولي في موكب عظيم فلما قرب من القصر اعترضه ثلاثة من الاتراك وضربوه حتي مات فامر المستنصر باحضار من قتله فاجتمع الطواءف وقالوا نحن قتلناه فلم يجد المستنصر بدا من الاغضاء وقطع الاتراك---- ابا سعيد قطعا وتناولت الايدي اعضاءه فتمزقت واشتري اهله ما قدروا علي تحصيله من جثته بمال وجمع الاتراك ما قدروا عليه من اعضاءه ورمته وحرقوا ذلك بالنار والقوا عليه من التراب ما صار به تلا مرتفعا وضم اهله ما وصل اليهم منه في تابوت واسدلوا عليه سترا وتركوه في بيت مء-----زر بالستور واوقدوا الشموع واقاموا عزاءه فتعلقت من بعض الشموع شرارة في الستور التي هناك ومضت فيها فاحترق التابوت,الفلاحي علي ابي سعيد سهل بن هرون التستري اليهودي وقتله عند خان العبيد وذلك ان ام المستنصر كانت جارية ابي سعيد هذا فاخذها منه الظاهر وتسراها فولدت له ابنه المستنصر فرقت ابا سعيد درجة عليه بعد وفاة الظاهر وكان يخاف الوزير الجرجراءي فلم يظهر ما في نفسه فلما مات الجرجراءي وتولي الفلاحي انبسطت كلمة ابي سعيد في الدولة بحيث لم يبق للفلاحي معه في الوزارة امر ولا نهي سوي الاسم فقط وبعض التنفيذ لا غير وابو سعيد يتولي ديوان ام الخليفة المستنصر فغض الفلاحي بابي سعيد وشغب عليه الجند حتي قتلوه وذلك ان بني قرة عرب البحيرة افسدوا في الاعمال فخرج اليهم الخادم عزيز الدولة ريحان واوقع بهم وقتل منهم وعاد وقد عظم في نفسه لمعالجة النصر علي بني قرة والظفر بهم فثقل علي ابي سعيد امره واستمال المغاربة وزاد في واجباتهم ونقص من ارزاق الاتراك ومن ينضاف اليهم فجري بين الطاءفتين حرب بباب زويلة واتفق مرض ريحان وموته فاتهم ابو سعيد انه سمه وتجمع الطواءف المنحرفة عنه علي قتله فركب من داره علي العادة يريد القصر في يوم الاحد لثلاث خلون من جمادي الاولي في موكب عظيم فلما قرب من القصر اعترضه ثلاثة من الاتراك وضربوه حتي مات فامر المستنصر باحضار من قتله فاجتمع الطواءف وقالوا نحن قتلناه فلم يجد المستنصر بدا من الاغضاء وقطع الاتراك ابا سعيد قطعا وتناولت الايدي اعضاءه فتمزقت واشتري اهله ما قدروا علي تحصيله من جثته بمال وجمع الاتراك ما قدروا عليه من اعضاءه ورمته وحرقوا ذلك بالنار والقوا عليه من التراب ما صار به تلا مرتفعا وضم اهله ما وصل اليهم منه في تابوت واسدلوا عليه سترا وتركوه في بيت مءزر بالستور واوقدوا الشموع واقاموا عزاءه فتعلقت من بعض الشموع شرارة في الستور التي هناك ومضت فيها فاحترق التابوت ,0,0
313,35,582,سنة اربعين واربعماءة فيها سار ناصر الدولة ابو محمد الحسن بن الحسين بن الحسن بن حمدان امير دمشق وشجاع الدولة جعفر بن كل-يد والي حمص بالعساكر------- وقباءل العربان الي ح--------------------لب لقتال اميرها ثمال بن صالح بن مرداس وذلك ان ثمال بن صالح كان قد قرر علي نفسه في وزارة الفلاحي ان يحمل كل سنة عشرين الفا فاخل---------------------------- الحمل سنتين واخذ شجاع الدولة يغري---------- الوزير علي ثمال ويسه-ل امر حلب فخرج- الامر الي ابن حمدان ان يسير هو ووالي حمص بجمو-ع العرب-- فنزل بمن معه علي حماة وفتحها واخذ المعرة واقدم فنزل علي حلب لخمس بقين من ربيع الاخر وحارب ابن مرداس----- حروبا الت الي رحيل ابن حمدان بغير طاءل,من ربيع الاخر وحارب ابن مرداس حروبا الت الي رحيل ابن حمدان بغير طاءل في سادس عشر جمادي الاولي ففي عوده اصابه سيل هلك فيه اكثر ما معه من الخيل والرجال والامتعة وعاد الي دمشق فبعث ثمال الي المستنصر يسال عفوه وكان المتوسط بينهما ابو نصر ابراهيم اخو سعيد التستري فاجيب الي ذلك وانفصل رسول من الحضرة فورد الخبر بان ثمال بعث واليا الي معرة النعمان وانه اساء التدبير فانحرف عنه الناس وفر منهم الي حلب وان جعفرا امير حمص بادر الي المعرة فلقيه مقلد بن كامل بن مرداس وحاربه فقتل في الوقعة لست بقين من شعبان وحملت راسه وشهرت بحلب واسر كثير من عسكره فبعث المستنصر الي رسول ثمال ,0,0
313,35,582,سنة اربعين واربعماءة فيها سار ناصر الدولة ابو محمد الحسن بن الحسين بن الحسن بن حمدان امير دمشق وشجاع الدولة جعفر بن كل-يد والي حمص بالعساكر------- وقباءل العربان الي ح--------------------لب لقتال اميرها ثمال بن صالح بن مرداس وذلك ان ثمال بن صالح كان قد قرر علي نفسه في وزارة الفلاحي ان يحمل كل سنة عشرين الفا فاخل---------------------------- الحمل سنتين واخذ شجاع الدولة يغري---------- الوزير علي ثمال ويسه-ل امر حلب فخرج- الامر الي ابن حمدان ان يسير هو ووالي حمص بجمو-ع العرب-- فنزل بمن معه علي حماة وفتحها واخذ المعرة واقدم فنزل علي حلب لخمس بقين من ربيع الاخر وحارب ابن مرداس----- حروبا الت الي رحيل ابن حمدان بغير طاءل,سنة اربعين واربعماءة فيها سار ناصر الدولة ابو محمد الحسن بن الحسين بن الحسن بن حمدان امير دمشق وشجاع الدولة جعفر بن كليد والي حمص بالعساكر وقباءل العربان الي حلب لقتال اميرها ثمال بن صالح بن مرداس وذلك ان ثمال بن صالح كان قد قرر علي نفسه في وزارة الفلاحي ان يحمل كل سنة عشرين الفا فاخل الحمل سنتين واخذ شجاع الدولة يغري الوزير علي ثمال ويسهل امر حلب فخرج الامر الي ابن حمدان ان يسير هو ووالي حمص بجموع العرب فنزل بمن معه علي حماة وفتحها واخذ المعرة واقدم فنزل علي حلب لخمس بقين من ربيع الاخر وحارب ابن مرداس حروبا الت الي رحيل ابن حمدان بغير طاءل ,0,0
313,35,582,سنة اربعين واربعماءة فيها سار ناصر الدولة ابو محمد الحسن بن الحسين بن الحسن بن حمدان امير دمشق وشجاع الدولة جعفر بن كل-يد والي حمص بالعساكر------- وقباءل العربان الي ح--------------------لب لقتال اميرها ثمال بن صالح بن مرداس وذلك ان ثمال بن صالح كان قد قرر علي نفسه في وزارة الفلاحي ان يحمل كل سنة عشرين الفا فاخل---------------------------- الحمل سنتين واخذ شجاع الدولة يغري---------- الوزير علي ثمال ويسه-ل امر حلب فخرج- الامر الي ابن حمدان ان يسير هو ووالي حمص بجمو-ع العرب-- فنزل بمن معه علي حماة وفتحها واخذ المعرة واقدم فنزل علي حلب لخمس بقين من ربيع الاخر وحارب ابن مرداس----- حروبا الت الي رحيل ابن حمدان بغير طاءل,من المكاتبة ووجد الوزير ابو البركات السبيل الي الاغراء بابي نصر ابراهيم فما زال يبلغ المستنصر بانه حمله الحقد لقتل اخيه علي السعي فيما يضر الدولة من التوسط بين ثمال والحضرة وان ابن حمدان اساء التدبير في رجوعه عن حلب فقبض علي ابي نصر واخذت عامة امواله وعوقب حتي مات وولي دمشق بهاء الدولة مظفر الخادم الصقلبي وخرج اليها علي جراءد الخيل فدخلها علي حين غفلة وقبض علي ناصر الدولة ابن حمدان وحمله الي صور ونقله الي الرملة وصودر واقام مظفر الخدمة بدمشق,0,0
319,836,1523,الي المعرة فظن من معه من العساكر انه يريد ان ينهزم فاجدوا في الرحيل وقد حاصر قلوبهم الوجل وداخلهم الخوف فامر بردهم اليه فابوا ذلك عليه وفطن اهل حلب لهم فتبعوهم ونهبوا ما قدروا عليه منهم وكانت بينهما------ حرب----------- جرح فيها رفق في عدة مواضع من راسه وبدنه واسر وانهزم العسكر باسره وحمل رفق ----علي بغل وهو مكشوف الراس ومعه جماعة من وجوه- عسكره فلم يحتمل ما اصابه واختلط عقله ومات ب--قلعة حلب بعد ثلاثة ايام في مستهل ربيع الاخر واعتقل عامة من كان معه من القواد والكتاب بحلب فلما ورد الخبر بذلك علي المستنصر امر بالافراج عن ناصر الدولة ابي محمد الحسن بن الحسين بن حمدان من الاعتقال وقلد امارة د----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------مشق الامير المءيد مصطفي الملك معز الدولة ذا الرءاستين حيدرة بن الامير عصب الدولة حسين بن مفلح في رجب وخرج معه ناظرا-,الي المعرة فظن من معه من العساكر انه يريد ان ينهزم فاجدوا في الرحيل وقد حاصر قلوبهم الوجل وداخلهم الخوف فامر بردهم اليه فابوا ذلك عليه وفطن اهل حلب لهم فتبعوهم ونهبوا ما قدروا عليه منهم وكانت بينهما حرب جرح فيها رفق في عدة مواضع من راسه وبدنه واسر وانهزم العسكر باسره وحمل رفق علي بغل وهو مكشوف الراس ومعه جماعة من وجوه عسكره فلم يحتمل ما اصابه واختلط عقله ومات بقلعة حلب بعد ثلاثة ايام في مستهل ربيع الاخر واعتقل عامة من كان معه من القواد والكتاب بحلب فلما ورد الخبر بذلك علي المستنصر امر بالافراج عن ناصر الدولة ابي محمد الحسن بن الحسين بن حمدان من الاعتقال وقلد امارة دمشق الامير المءيد مصطفي الملك معز الدولة ذا الرءاستين حيدرة بن الامير عصب الدولة حسين بن مفلح في رجب وخرج معه ناظرا,0,0
329,56,317,علي ذلك-- سنة اربع واربعين واربعماءة فيها كتبت بغ-داد محاضر تتضمن القدح في نسب الخلفاء المصريين ونفيهم من الالتحاق بعلي بن ابي طالب رضي الله عنه وجمع ساءر اعيان الفقهاء ببغداد واشرافها وقضاتها وعزوا نسبهم في الديصانية من المجوس وسيرت المحاضر الي البلاد وشنع عليهم,علي ذلك ,0,253
329,56,317,علي ذلك-- سنة اربع واربعين واربعماءة فيها كتبت بغ-داد محاضر تتضمن القدح في نسب الخلفاء المصريين ونفيهم من الالتحاق بعلي بن ابي طالب رضي الله عنه وجمع ساءر اعيان الفقهاء ببغداد واشرافها وقضاتها وعزوا نسبهم في الديصانية من المجوس وسيرت المحاضر الي البلاد وشنع عليهم,سنة اربع واربعين واربعماءة فيها كتبت بغداد محاضر تتضمن القدح في نسب الخلفاء المصريين ونفيهم من الالتحاق بعلي بن ابي طالب رضي الله عنه وجمع ساءر اعيان الفقهاء ببغداد واشرافها وقضاتها وعزوا نسبهم في الديصانية من المجوس وسيرت المحاضر الي البلاد وشنع عليهم ,8,0
358,22,705,الت الي ان انكسر ناصر الدولة كسرة عنيفة فاصابته ضربة شلت منها يده ورجع منهزما- في مستهل شعبان فقال عب---------------------------------------------------د العزيز العكيك الحلبي وقد -------------مدح ناصر الدولة--------- فلم يجزه------------ ولءن غلطت بان مدحتك طالبا جدواك مع علمي بانك باخل فالدولة الزهراء قد غلطت بان نعتتك ناصرها وانت الخاذل ان تم امرك مع يد لك اصبحت شلاء فالامثال عندي باطل واما ابن ملهم فانه بعث الي اسد الدولة ابي ذءابة عطية بن صالح فسلمه حلب ودخلها في عاشر شعبان هذا واقام بها يوم ثم خرج عجزا عنها فوصل محمود في ثاني عشره وملكها وفي تاسع رمضان صرف ابو الفرج ابن--------- المغربي عن الوزارة واعيد اليها ابو الفرج عبد الله بن محمد البابلي و---------------صرف عن قضاء القضاة عب-----د الحاكم بن وهب في جمادي الاخرة واستقر عوضه ابو عبد الله احمد بن محمد بن ابي ذكري- في حادي عشري--- رجب,الت الي ان انكسر ناصر الدولة كسرة عنيفة فاصابته ضربة شلت منها يده ورجع منهزما في مستهل شعبان فقال عبد العزيز العكيك الحلبي وقد مدح ناصر الدولة فلم يجزه ولءن غلطت بان مدحتك طالبا جدواك مع علمي بانك باخل فالدولة الزهراء قد غلطت بان نعتتك ناصرها وانت الخاذل ان تم امرك مع يد لك اصبحت شلاء فالامثال عندي باطل واما ابن ملهم فانه بعث الي اسد الدولة ابي ذءابة عطية بن صالح فسلمه حلب ودخلها في عاشر شعبان هذا واقام بها يوم ثم خرج عجزا عنها فوصل محمود في ثاني عشره وملكها وفي تاسع رمضان صرف ابو الفرج ابن المغربي عن الوزارة واعيد اليها ابو الفرج عبد الله بن محمد البابلي وصرف عن قضاء القضاة عبد الحاكم بن وهب في جمادي الاخرة واستقر عوضه ابو عبد الله احمد بن محمد بن ابي ذكري في حادي عشري رجب ,0,0
360,1262,1380,بعده الي اخيه ابي علي احمد بن عبد الحاكم بن سعيد------- ثم صرف عن القضاء في صفر بابي----------------- القاسم عبد الحاكم بن وهيب بن عبد الرحمن,بعده الي اخيه ابي علي احمد بن عبد الحاكم بن سعيد ثم صرف عن القضاء في صفر بابي القاسم عبد الحاكم بن وهيب بن عبد الرحمن ,0,0
360,1102,1347,سنة اربع وخمسين واربعماءة في ثالث المحرم توفي ابو محمد عبد الكريم بن عبد الحاكم------- في وزارته وكان ابوه قاضي طرابلس فانتقل ابو محمد الي مصر وكان-------------- فاضلا فردت الوزارة بعده --الي اخيه ابي علي احمد بن عبد الحاكم بن سعيد ثم صرف عن القضاء في صفر بابي القاسم,بعده الي اخيه ابي علي احمد بن عبد الحاكم بن سعيد ثم صرف عن القضاء في صفر بابي القاسم عبد الحاكم بن وهيب بن عبد الرحمن ,0,0
